id,type,principal,date,location id,cleric
166470-1012-2-E1,baptism,166470-P00290,1830-11-07,166470-L1,166470-P00715
166470-1012-2-E2,birth,166470-P00290,1830-11-07,,
166470-1012-3-E1,baptism,166470-P00291,1830-11-10,166470-L1,166470-P00715
166470-1012-3-E2,birth,166470-P00291,1830-11-01,,
166470-1012-4-E1,baptism,166470-P00298,1830-11-10,166470-L1,166470-P00715
166470-1012-5-E1,baptism,166470-P00305,1830-11-12/1830-11-20,166470-L1,166470-P00715
166470-1012-5-E2,birth,166470-P00305,1830-12-02/1830-11-02,,
166470-1012-6-E1,baptism,166470-P00309,1830-11-20,166470-L1,166470-P00715
166470-1012-6-E2,birth,166470-P00309,1830-11-20,,
166470-1013-1-E1,baptism,166470-P00310,1830-11-20,166470-L1,166470-P00721
166470-1013-1-E2,birth,166470-P00310,1830-11-20,,
166470-1013-2-E1,baptism,166470-P00314,1830-11-20,166470-L1,166470-P00715
166470-1013-3-E1,baptism,166470-P00319,1830-11-30,166470-L1,166470-P00715
166470-1013-3-E2,birth,166470-P00319,1830-11-20,,
166470-1013-4-E1,baptism,166470-P00339,1830-12-04,166470-L1,166470-P00715
166470-1013-4-E2,birth,166470-P00339,1830-08-07,,
166470-1013-5-E1,baptism,166470-P00340,1830-12-08,166470-L1,166470-P00715
166470-1013-5-E2,birth,166470-P00340,1830-10-20,,
166470-1013-6-E1,baptism,166470-P00346,1830-12-09,166470-L1,166470-P00715
166470-1013-7-E1,baptism,166470-P00351,1830-12-11,166470-L1,166470-P00715
166470-1013-7-E2,birth,166470-P00351,1830-09-20,,
166470-1014-1-E1,baptism,166470-P00359,1830-12-13,166470-L1,166470-P00715
166470-1014-1-E2,birth,166470-P00359,1830-10-14,,
166470-1014-2-E1,baptism,166470-P00366,1830-12-14,166470-L1,166470-P00715
166470-1014-2-E2,birth,166470-P00366,1830-10-20,,
166470-1014-3-E1,baptism,166470-P00377,1830-12-10,166470-L1,166470-P00715
166470-1014-3-E2,birth,166470-P00377,1830-12-03,,
166470-1014-4-E1,baptism,166470-P00383,1830-12-20,166470-L1,166470-P00715
166470-1014-4-E2,birth,166470-P00383,1830-12-08,,
166470-1014-5-E1,baptism,166470-P00385,1830-12-20,166470-L1,166470-P00715
166470-1014-6-E1,baptism,166470-P00388,1830-12-20,166470-L1,166470-P00715
166470-1014-6-E2,birth,166470-P00388,1830-12-20,,
